"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"Give A Little Whistle"	"Dave Brubeck"	"10:01pm"	2016-04-30	"Dave Digs Disney"	" Jean Cis, Leigh Harline, Ned Washington"	"https://open.spotify.com/track/16kNj1TQWuf5dwysbj0NwW"	"16kNj1TQWuf5dwysbj0NwW"	"spotify:track:16kNj1TQWuf5dwysbj0NwW"
"Second Balcony Jump"	"Dave Babcock And His Jump Orchestra"	"10:09pm"	2016-04-30	"Jump To It"	" G Valentine, Billy Eckstine"	NA	NA	NA
"They Can't Take That Away From Me"	"Sarah Vaughan"	"10:13pm"	2016-04-30	"Swingin' Easy With Sarah Vaughan"	"Roy Haynes"	"https://open.spotify.com/track/49zFKnjb5eIicaZc6mEw5H"	"49zFKnjb5eIicaZc6mEw5H"	"spotify:track:49zFKnjb5eIicaZc6mEw5H"
"Canadiana Suite/Hogtown Blues"	"Ross Taggart, Ross Taggart Trio, Ken Lister, Craig Scott"	"10:16pm"	2016-04-30	"Presenting The Ross Taggart Trio"	" Oscar Peterson"	NA	NA	NA
"Waltz For Clay"	"Hutchinson Andrew Trio"	"10:22pm"	2016-04-30	"Hutchinson Andrew Trio: Prairie Modern"	" Chris Andrew"	"https://open.spotify.com/track/0sOsnK40mj7zJoRAzJITTk"	"0sOsnK40mj7zJoRAzJITTk"	"spotify:track:0sOsnK40mj7zJoRAzJITTk"
"Ain't Misbehavin'"	"Stephane Grappelli"	"10:27pm"	2016-04-30	"Stephane Grappelli: Shades Of Django"	" Thomas \"Fats\" Waller, Harry Brooks, Andy Razaf"	"https://open.spotify.com/track/70rOdJMX2vld2WnZzjB8ju"	"70rOdJMX2vld2WnZzjB8ju"	"spotify:track:70rOdJMX2vld2WnZzjB8ju"
"I Can't Give You Anything But Love"	"Diana Krall"	"10:32pm"	2016-04-30	"Diana Krall: When I Look In Your Eyes"	" Jimmy Mchugh, Dorothy Fields"	"https://open.spotify.com/track/6lTEWW5E6WLfctDEx0g2Lx"	"6lTEWW5E6WLfctDEx0g2Lx"	"spotify:track:6lTEWW5E6WLfctDEx0g2Lx"
"Farms"	"James Farm"	"10:34pm"	2016-04-30	"City Folk"	" Aaron Parks"	NA	NA	NA
"The Contessa"	"Makoto Ozone"	"10:40pm"	2016-04-30	"Oscar, With Love"	" Oscar Peterson"	NA	NA	NA
"Easy Does It"	"Sonny Stitt,  Oscar Peterson"	"10:46pm"	2016-04-30	"Sonny Stitt: Sits In With The Os"	"Ray Brown"	"https://open.spotify.com/track/3JyclFp54famYZDydd39mW"	"3JyclFp54famYZDydd39mW"	"spotify:track:3JyclFp54famYZDydd39mW"
"My Love"	"John Pizzarelli"	"10:51pm"	2016-04-30	"John Pizzarelli: Midnight Mccartney"	" Paul Mccartney, Linda Mccartney"	"https://open.spotify.com/track/6KASi9xbG1S9YbNsdkHfj2"	"6KASi9xbG1S9YbNsdkHfj2"	"spotify:track:6KASi9xbG1S9YbNsdkHfj2"
"Lily"	"Steve Koven"	"10:56pm"	2016-04-30	"Solo Retrospective"	" Steve Koven"	"https://open.spotify.com/track/1pUig0uB6aB0ksLMt8Arkd"	"1pUig0uB6aB0ksLMt8Arkd"	"spotify:track:1pUig0uB6aB0ksLMt8Arkd"
"The Gaits (Feat. Sin Fang)"	"Zoon Van Snook"	"11:08pm"	2016-04-30	"The Gaits (Single)"	" Zoon Van Snook, Sindri Mar Sigfusson"	"https://open.spotify.com/track/76naCH2GBSarmMpzJ4zJMz"	"76naCH2GBSarmMpzJ4zJMz"	"spotify:track:76naCH2GBSarmMpzJ4zJMz"
"Doing The Right Thing"	"Daughter"	"11:12pm"	2016-04-30	"Doing The Right Thing (Single)"	" Elena Tonra, Remi Aguilella, Igor Haefeli"	"https://open.spotify.com/track/2X8DqCikgiVk3214hbHEpz"	"2X8DqCikgiVk3214hbHEpz"	"spotify:track:2X8DqCikgiVk3214hbHEpz"
"Tookah"	"Emiliana Torrini"	"11:18pm"	2016-04-30	"Tookah"	" Emiliana Torrini"	"https://open.spotify.com/track/29pzptaXsAhT3atawp0La9"	"29pzptaXsAhT3atawp0La9"	"spotify:track:29pzptaXsAhT3atawp0La9"
"This War Is More Than Us"	"Casey Mecija"	"11:21pm"	2016-04-30	"Psychic Materials"	" Casey Mecija"	"https://open.spotify.com/track/5R5nTcZVBhBkkM36L888Ro"	"5R5nTcZVBhBkkM36L888Ro"	"spotify:track:5R5nTcZVBhBkkM36L888Ro"
"Blue Moon"	"Beck"	"11:25pm"	2016-04-30	"Morning Phase"	"Beck"	"https://open.spotify.com/track/4gNErDjikE9QUQvkkqoB1S"	"4gNErDjikE9QUQvkkqoB1S"	"spotify:track:4gNErDjikE9QUQvkkqoB1S"
"Can't Get Your Love"	"Coeur De Pirate"	"11:29pm"	2016-04-30	"Roses"	"Coeur De Pirate"	"https://open.spotify.com/track/1hDqPqXUg92sxceE70HHAb"	"1hDqPqXUg92sxceE70HHAb"	"spotify:track:1hDqPqXUg92sxceE70HHAb"
"Faraway Car Ride"	"Twin Within"	"11:32pm"	2016-04-30	"Horizontal Lines"	" Alex Samaras, Steve Mckay"	"https://open.spotify.com/track/0kt4JTkBNPZkQm2biMyIaE"	"0kt4JTkBNPZkQm2biMyIaE"	"spotify:track:0kt4JTkBNPZkQm2biMyIaE"
"Baby Moses"	"Jordan Klassen"	"11:38pm"	2016-04-30	"Javelin"	" Jordan Klassen"	"https://open.spotify.com/track/1zdf0UoMJ7xBWVRxyFNEdv"	"1zdf0UoMJ7xBWVRxyFNEdv"	"spotify:track:1zdf0UoMJ7xBWVRxyFNEdv"
"Vol Plane"	"Jean Cormier Louis"	"11:42pm"	2016-04-30	"Louis-Jean Cormier: Les Grandes Arteres"	"Jean  Louis Cormier"	"https://open.spotify.com/track/16ehhtClsYm2wutZV5oZFk"	"16ehhtClsYm2wutZV5oZFk"	"spotify:track:16ehhtClsYm2wutZV5oZFk"
"Everything"	"Chantal Acda"	"11:48pm"	2016-04-30	"Everything (Single)"	" Chantal Acda"	"https://open.spotify.com/track/2gb2SlrveDeWOXBdqgDUxb"	"2gb2SlrveDeWOXBdqgDUxb"	"spotify:track:2gb2SlrveDeWOXBdqgDUxb"
"Figures Of A New Colour"	"Montag"	"11:51pm"	2016-04-30	"Alone, Not Alone"	" Antoine Bedard"	NA	NA	NA
"Pommel Horse"	"Joyful Talk"	"11:55pm"	2016-04-30	"Muuixx"	" Jay Crocker"	NA	NA	NA
